"Marca temporal,""1. Me gustaría usar este sistema con frecuencia."",""2. El sistema es innecesariamente complejo."",""3. Creo que el sistema es fácil de usar."",""4. Necesitaría apoyo técnico para usar este sistema."",""5. Las funciones del sistema están bien integradas."",""6. Hay demasiada inconsistencia en el sistema."",""7. Creo que la mayoría de las personas aprenderían a usar este sistema rápidamente."",""8. El sistema es muy engorroso de usar."",""9. Me sentí muy seguro usando el sistema."",""10. Necesité aprender muchas cosas antes de poder usar este sistema.""";;;;;;
"2025/10/29 6:46:46 p. m. GMT-5,""3"",""4"",""4"",""2"",""2"",""2"",""4"",""2"",""4"",""2""";;17;12;;12;13
"2025/10/29 7:02:06 p. m. GMT-5,""4"",""4"",""5"",""3"",""5"",""3"",""5"",""2"",""5"",""4""";;24;19;;16;9
"2025/10/29 7:03:38 p. m. GMT-5,""3"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""3"",""4""";;18;13;;20;5
"2025/10/29 7:04:46 p. m. GMT-5,""3"",""2"",""3"",""4"",""4"",""2"",""4"",""2"",""4"",""5""";;18;13;;15;10
"2025/10/29 7:07:18 p. m. GMT-5,""5"",""3"",""5"",""3"",""5"",""2"",""5"",""2"",""5"",""3""";;25;20;;13;12
;;;;;;
;;;;;;
;;62.5;;;;
;;70;;;;
;;45;;;;
;;57.5;;;;
;;80;;;;
;;63;;;;
